ball,score,commentary
37.4,4,"Mohammed Shami to Warner, FOUR runs, places this past mid-off, and lets out a celebratory yelp. The batsmen embrace, and this one is done and dusted! Australia do it in stye, with the highest partnership for any wicket in ODI cricket against India!"
37.3,4,"Mohammed Shami to Warner, FOUR runs, short, down leg side, and he helps it away to the long leg fence. Just uses the pace of the ball"
37.3,1,"Mohammed Shami to Warner, 1 wide, short, called wide as it bounces well over his head"
37.2,0,"Mohammed Shami to Warner, no run, fuller ball, wider of off, and he drives this towards mid-off"
37.1,0,"Mohammed Shami to Warner, no run, short of a length, and he goes back and drags this towards mid-wicket"
36.6,1,"Jadeja to Warner, 1 run, length, around leg, and he plonks this away towards deep square leg. Wants two, but settles for one"
36.5,2,"Jadeja to Warner, 2 runs, short, and he cuts this away. Past point, but the man will run across and keep it down to two"
36.4,1,"Jadeja to Finch, 1 run, angles into him, and he plays this away to the left of short fine-leg with a little flick of the wrists"
36.3,0,"Jadeja to Finch, no run, length, and he drops this around off stump, played towards point"
36.2,1,"Jadeja to Warner, 1 run, flicks one off his pads towards square leg"
36.1,0,"Jadeja to Warner, no run, short of a length, and he goes back and drives this hard. Cannot beat cover"
35.6,1,"Mohammed Shami to Warner, 1 run, looks for the yorker, ends up bowling a yorker around leg stump. Played to the left of mid-on, and they scurry through for a quick single"
35.5,0,"Mohammed Shami to Warner, no run, wide of the crease, fuller, and he drives this hard towards cover"
35.4,0,"Mohammed Shami to Warner, no run, dug in short, and he looks to back away and play the upper cut. No contact with ball as it slants across him towards Rahul. One short ball called for the over"
35.3,1,"Mohammed Shami to Finch, 1 run, length, angles in, and he plays this towards point"
35.2,4,"Mohammed Shami to Finch, FOUR runs, length, and he plays a delicate late cut. Played fine enough to beat third man"
35.1,2,"Mohammed Shami to Finch, 2 runs, length, tapped away past point and picks up two easily"
34.6,1,"Jadeja to Finch, 1 run, steers this to the left of cover, and picks up a single"
34.5,4,"Jadeja to Finch, FOUR runs, that could be his century, and is! Down the leg side, and he just needed to get something on it with a sweep. Jogs over and punches gloves with Warner. Takes his helmet off to soak up the applause. What an innings. The man who started the momentum in this mammoth partnership"
34.4,0,"Jadeja to Finch, no run, length, and he defends one that straightens after pitching around leg"
34.3,1,"Jadeja to Warner, 1 run, length, pushed down the wicket past Jadeja towards long-off"
34.2,0,"Jadeja to Warner, no run, tries the reverse sweep. Flicked on to body, but drops ahead of him"
34.1,1,"Jadeja to Finch, 1 run, length, and he knocks this towards point. Picks up a quick single"
33.6,0,"Kuldeep Yadav to Warner, no run, length, and he goes back and cuts this towards point"
33.5,1,"Kuldeep Yadav to Finch, 1 run, length, and he goes back and nurdles this away towards deep backward square leg"
33.4,1,"Kuldeep Yadav to Warner, 1 run, length, and he flogs this down towards deep mid-wicket"
33.3,1,"Kuldeep Yadav to Finch, 1 run, sweeps hard, and gets it down towards long leg"
33.2,0,"Kuldeep Yadav to Finch, no run, length, and he goes back and defends one that turns back a touch into him"
33.1,0,"Kuldeep Yadav to Finch, no run, some turn back from a length, and Finch just gets some bat as he stretches to defend"
32.6,4,"Bumrah to Warner, FOUR runs, slower one but outside off, Warner picks it up and drills it between extra cover and mid-off"
32.5,4,"Bumrah to Warner, FOUR runs, short of length outside off, backs away and hits it past the diving extra cover, beats the man at deep cover as well"
